GCP PSOE,"Your organization has multiple GKE clusters across different projects and wants centralized visibility into container threats, including cryptomining, privilege escalation, and malicious code execution. You have Security Command Center Premium tier enabled. Where should you navigate in the Google Cloud console to view a summary of the top threats affecting your GKE workloads grouped by severity and category?","Security Command Center Findings page, filtered by Container Threat Detection.","GKE Security Posture dashboard, in the Top threats pane.","GKE Workloads page, in the Security tab under each deployment.","Cloud Logging Logs Explorer, filtered by GKE cluster resource type.",2,"When Security Command Center Premium or Enterprise tier is activated, the GKE security posture dashboard shows the Top threats pane that summarizes threats affecting GKE workloads, grouped by severity and category. This pane displays threats such as cryptomining, privilege escalation, and malicious code execution detected by Container Threat Detection. Reference: https://cloud.google.com/kubernetes-engine/docs/concepts/about-security-posture-dashboard"
GCP PSOE,"Your SOC uses Google Security Operations (SecOps) SOAR for incident response. You need to ensure that all case activity, including automated playbook actions, manual analyst activities, and collaboration messages, is captured in a single searchable location for audit and compliance purposes. Where should analysts access this information?","The Cloud Audit Logs in the Google Cloud console, which captures all API calls and administrative actions across the SOAR platform.","The SOAR Dashboards page, which aggregates all case metrics and analyst performance data in real-time visualizations.","The SIEM Search page, which indexes all case-related activity alongside security event data for correlation.","The Case Wall within each case, which automatically documents all playbook action results, manual actions, and collaboration content.",4,"The Case Wall is the auto-documenting feature that captures all SOC activity including automated actions, manual activities, chats, tasks, and uploaded files in a single, searchable, and auditable repository within each case. Reference: https://cloud.google.com/security/products/security-operations"
GCP PSOE,Your security operations team is using Google Security Operations (SecOps) and wants to identify any assets that have communicated with IP addresses matching known threat indicators from Mandiant threat intelligence. Your organization has Applied Threat Intelligence (ATI) enabled with an Enterprise Plus license. How should you view and prioritize these matches?,Use UDM Search to query for all network connections and manually cross-reference results with exported Mandiant threat intelligence feeds.,"Navigate to the IoC Matches page and filter by Sources to show only Mandiant indicators, then prioritize based on GCTI Priority labels such as Active IR or High.",Create a custom YARA-L rule to detect connections to Mandiant threat indicators and enable alerting on all matches regardless of confidence score.,Configure a SOAR playbook to export all network logs daily and send them to Mandiant's API for external threat matching analysis.,2,"The IoC Matches page displays all indicators of compromise matched in your data against threat intelligence feeds. With ATI enabled, you can filter by Sources to view Mandiant IoCs and use GCTI Priority labels to prioritize investigation of the most critical matches. Reference: https://cloud.google.com/chronicle/docs/detection/ati-view-ioc-page"
GCP PSOE,Your security team receives too many alerts from the Applied Threat Intelligence (ATI) curated detection rules in Google Security Operations (SecOps). Many alerts are from Medium priority indicators that are not immediately actionable. You need to reduce alert volume while maintaining coverage for critical threats. What should you do?,Configure rule exclusions for all IP addresses that match RFC 1918 internal ranges to automatically exclude internal traffic from ATI matching.,Increase the GTI score threshold to 95 in the ATI configuration settings to filter out low-confidence indicators before they generate alerts.,Keep the ATI Medium priority rule packs in non-alerting mode while keeping High and Active Breach rule packs with alerting enabled.,Disable all ATI curated detection rule packs and create custom YARA-L rules that only match on indicators with GTI verdict of Malicious and High severity.,3,Google recommends keeping ATI medium rule packs in non-alerting mode due to the potential volume of Medium priority indicators. High and Active Breach priority rule packs should remain in alerting mode to maintain coverage for critical threats. Reference: https://cloud.google.com/chronicle/docs/detection/ati-prioritization
GCP PSOE,"You are investigating a potential breach in Google Security Operations (SecOps) and discovered a suspicious domain in your network traffic. You want to leverage VirusTotal to understand the relationships between this domain and potentially malicious infrastructure, including visualizing connections to related IPs, file hashes, and other domains. What should you do?",Use the Enrich Entities action in a SOAR playbook to automatically generate a relationship graph for the domain.,Navigate to the IOC matches page and use the Associations tab to view the VirusTotal relationship graph for the domain.,Query the entity graph in Google SecOps using UDM search to retrieve all related indicators connected to the domain.,"Open the Domain view in Google SecOps, navigate to the Graph tab, and launch VirusTotal Graph using your VirusTotal Enterprise credentials.",4,"VirusTotal Graph within Google SecOps analyzes the relationship between files, URLs, domains, IP addresses, and other items. It helps illustrate the interconnections between potentially malicious domains and assets within your enterprise. To use VirusTotal Graph, you must have a VirusTotal Enterprise account and can launch it from the Graph tab in Domain view, IP address view, or Hash view. Reference: https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information"
GCP PSOE,"Data management""You have configured a Cloud Logging sink to export security logs to a BigQuery dataset. After several months of operation, your security team reports that some recent log entries are appearing in a table named export_errors instead of the expected log table. You need to identify the root cause and prevent this issue from recurring. What is the most likely cause of this issue?","The BigQuery dataset has exceeded its storage quota, causing new log entries to be redirected to an overflow error table for later processing.","A log entry contained a field with a data type that conflicts with an existing column in the BigQuery table schema, causing a schema mismatch error.","The log entries have timestamps that are too old for real-time streaming insertion, causing BigQuery to reject them and store them in an error table.","The sink's service account permissions have expired, causing authentication failures that result in log entries being written to an error table.",2,"When BigQuery identifies a schema mismatch, such as a field type change for an existing field, it creates an export_errors table to store the problematic log entries. The first log entry determines the schema, and subsequent entries with conflicting field types cause mismatches. Reference: https://cloud.google.com/logging/docs/export/bigquery"
GCP PSOE,A security analyst reviews Web Security Scanner findings in Security Command Center and discovers multiple XSS (cross-site scripting) vulnerabilities in a production web application. The analyst needs to verify the findings before escalating to the development team. How should the analyst verify the XSS vulnerability findings?,Check the finding's JSON definition for the externalUri field and manually inspect the page source code.,"Follow the Reproduction URL provided in the finding details, which produces an empty popup in the browser when the vulnerability is confirmed.",Run a manual penetration test using external tools like OWASP ZAP to independently verify the vulnerability exists.,Review the Cloud Audit Logs for the affected application to confirm exploitation attempts have occurred.,2,"Web Security Scanner provides a Reproduction URL for XSS findings that, when followed, produces an empty popup in the browser to confirm the scan successfully injected benign code into a script. This is the recommended verification method documented by Google. Reference: https://cloud.google.com/security-command-center/docs/how-to-remediate-web-security-scanner-findings"
GCP PSOE,Your organization uses Security Command Center Premium tier at the organization level. You need to implement real-time alerting so your security operations team receives immediate email notifications when Event Threat Detection identifies high or critical severity threats. What should you do?,"Create a BigQuery dataset for continuous export of ETD findings, then use Data Studio to create an email alert dashboard that sends notifications hourly.",Configure Event Threat Detection to send email notifications directly to your security team by updating the service settings in the Security Command Center console.,"Configure a continuous export to Pub/Sub with a filter for high and critical severity ETD findings, then deploy a Cloud Run function to send email notifications via SendGrid or a similar service.",Enable Cloud Logging for Event Threat Detection and configure a log-based alert to send notifications when high or critical findings appear.,3,"Continuous exports to Pub/Sub provide near real-time notification of findings that match specified filters. By combining this with a Cloud Run function, you can transform findings into email notifications. This architecture enables automated alerting workflows for security operations. Reference: https://cloud.google.com/security-command-center/docs/how-to-enable-real-time-notifications"
GCP PSOE,You are configuring VPC Service Controls for a Google Cloud environment. Your organization requires that VMs inside the perimeter can only access the specific Google Cloud services that are protected by the perimeter and no other services. How should you configure this restriction?,Enable VPC accessible services for the perimeter and set it to 'All restricted services' to allow only the services protected in the perimeter.,Configure the restricted.googleapis.com VIP as the only DNS endpoint for Google APIs from within the VPC network.,Configure firewall rules on the VPC network to block outbound traffic to Google API IP ranges except for the protected services.,Add egress rules that explicitly deny access to all services not listed in the restricted services configuration.,1,"The VPC accessible services feature limits the set of services accessible from network endpoints inside your service perimeter. Setting it to 'All restricted services' ensures that VMs inside can only access the services you have protected in the perimeter, preventing access to other Google Cloud services. Reference: https://cloud.google.com/vpc-service-controls/docs/create-service-perimeters"
GCP PSOE,You are building a Google Security Operations (SecOps) SOAR playbook for handling phishing incidents that requires manager approval before quarantining an endpoint. The IT manager who must approve the action does not have access to the Google SecOps platform. You need to configure the playbook to enable this external approval workflow. What should you do?,Create a custom integration that polls an external ticketing system for approval status before executing the quarantine action.,"Configure the quarantine action as Manual, enable the Approval link toggle, and add a preceding Send Email action that includes the Approve and Decline link placeholders.",Configure the quarantine action as Automatic and create a separate manual approval step that assigns the action to a SOC role for proxy approval.,Configure the quarantine action as Automatic and add a Time to respond deadline that auto-approves if no response is received.,2,"Approval links allow you to send manual actions waiting for user input (pending actions) to users outside of the platform. By enabling the Approval link toggle and including the generated placeholders in an email, external users can approve or decline actions without platform access. Reference: https://cloud.google.com/chronicle/docs/soar/respond/working-with-playbooks/assign-approval-links-in-actions"
GCP PSOE,"Your organization needs to implement Event Threat Detection custom modules to detect connections to a large set of malicious IP addresses from your threat intelligence platform. The threat feed contains over 100,000 IP addresses and is updated weekly. What constraint should you consider when planning this implementation?",Event Threat Detection custom modules can only process static configurations and do not support automated updates from external threat feeds.,"Each Event Threat Detection custom module has a size limit of 6 MB, so you may need to split the IP addresses across multiple custom modules.","Custom modules only support CIDR notation and cannot accept individual IP addresses, so all 100,000 IPs must be aggregated into CIDR blocks.","Event Threat Detection custom modules have a hard limit of 1,000 indicators per module that cannot be increased through quota requests.",2,"Each Event Threat Detection custom module has a maximum size limit of 6 MB. With a large number of IP addresses, the JSON template may exceed this limit, requiring the IOCs to be distributed across multiple custom modules. Additionally, there is a default quota of 200 custom modules per organization. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-etd-overview"
GCP PSOE,Your security team has detected a potentially compromised container image running in your GKE production cluster. The image was deployed using Binary Authorization with a 'Disallow all images' default policy. You need to deploy a critical security patch immediately while ensuring the incident is properly logged for forensic analysis. What should you do?,Add the patched container image to the admissionWhitelistPatterns in the Binary Authorization policy and deploy immediately.,"Create a new attestor and manually sign the patched image, then wait for the attestation to propagate before deploying the container.","Disable Binary Authorization enforcement on the cluster, deploy the patched container, then re-enable enforcement after deployment completes.","Add the 'image-policy.k8s.io/break-glass: true' label to the Pod specification and deploy the patched container, then query Cloud Audit Logs for breakglass events.",4,"The breakglass label allows you to override Binary Authorization policy enforcement in emergency situations. When images are deployed with breakglass, Binary Authorization logs breakglass events in Cloud Audit Logs, providing a documented audit trail for incident response and forensic analysis. Reference: https://cloud.google.com/binary-authorization/docs/using-breakglass"
GCP PSOE,Your organization has enabled Security Command Center Premium tier at the organization level. The security team reports that the OPEN_FIREWALL detector is generating many findings for firewall rules that are intentionally configured to allow traffic on specific ports for internal testing purposes. You want to suppress these findings for the testing environment without disabling the detector globally. What should you do?,Configure Event Threat Detection custom modules to filter out OPEN_FIREWALL findings from the testing project.,Disable the OPEN_FIREWALL detector module in Security Health Analytics settings for the entire organization.,Create a dynamic mute rule with a filter that matches findings from the testing project and the OPEN_FIREWALL category.,Add a security mark 'allow_open_firewall:true' to each testing project to exclude them from the detection policy.,3,Dynamic mute rules allow you to automatically suppress findings based on specified criteria such as project and finding category without disabling the detector entirely. Dynamic mute rules are recommended over static rules as they offer more flexibility and can apply to both existing and future findings. Reference: https://cloud.google.com/security-command-center/docs/how-to-mute-findings
GCP PSOE,Your organization needs to implement a centralized security log analysis solution where logs from all projects across your Google Cloud organization are correlated with an external threat intelligence feed containing known malicious IP addresses. You want to route Cloud Audit Logs to BigQuery and perform JOIN operations against a threat intelligence table to detect potential threats. What should you do first?,Configure a Log Analytics linked dataset and route logs to a read-only BigQuery dataset for threat correlation.,Create an organization-level aggregated sink that routes audit logs to a BigQuery dataset in a dedicated security project.,Create project-level log sinks in each project that route logs directly to the threat intelligence system for analysis.,Enable Data Access audit logs and configure a Pub/Sub topic as the sink destination for real-time threat matching.,2,"Aggregated sinks at the organization level can collect and route log entries from all projects in the resource hierarchy to a centralized BigQuery dataset, enabling consistent analysis and JOIN operations with threat intelligence data. Reference: https://cloud.google.com/logging/docs/export/aggregated_sinks"
GCP PSOE,"Your security operations team uses Google SecOps with Applied Threat Intelligence enabled. Analysts report that they are receiving numerous IOC match alerts from the ATI Fusion Feed, but many are low-confidence indicators that consume investigation time. You need to optimize the alerting configuration to focus analyst attention on the most actionable threats. What should you do?","Keep ATI Medium Priority rule packs in non-alerting mode and enable alerting only for Active Breach Priority and High Priority rule packs, which filter IOCs based on GTI verdict and severity.",Disable the Applied Threat Intelligence feature and create custom YARA-L rules that only match IOCs you manually import from trusted intelligence sources.,Configure rule exclusions for all ATI rule packs to filter out IOCs that have been seen more than 10 times in the past week to reduce noise from common indicators.,Increase the default IC-Score threshold for all ATI rule packs from 80 to 95 to reduce the number of IOCs that trigger alerts.,1,Google recommends keeping ATI Medium Priority rule packs in non-alerting mode due to the potential volume of Medium priority indicators. Active Breach and High Priority rule packs use the GTI verdict (Malicious with High severity) and additional features like Active IR status to prioritize the most actionable IOCs. Reference: https://cloud.google.com/chronicle/docs/detection/ati-prioritization
GCP PSOE,Your security team has received threat intelligence from a trusted third-party vendor containing a list of IP addresses associated with known command-and-control servers. You need to configure Event Threat Detection in Security Command Center to generate findings when any VM in your environment connects to these IP addresses. Which approach should you use?,Export the IP addresses to Google Threat Intelligence (GTI) and configure Event Threat Detection to use GTI for matching.,Create a Configurable Bad IP custom module with the IP addresses from the threat intelligence feed and set the appropriate severity level.,Modify the built-in Malware: Bad IP detector to include the third-party IP addresses in its detection logic.,Create a Security Health Analytics custom module with IP address validation rules that trigger alerts on connection events.,2,"The Configurable Bad IP custom module template is specifically designed to detect connections to user-supplied IP addresses. When logs indicate a connection to any of the supplied IP addresses, a finding is generated and written to Security Command Center. This allows you to extend Event Threat Detection with your own custom threat intelligence. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-etd-overview"
GCP PSOE,Security Command Center Enterprise detected a Malware: Bad IP finding indicating that a Compute Engine VM communicated with a known command and control IP address. You want to use this finding to perform proactive threat hunting and determine if other resources in your environment have communicated with similar malicious infrastructure. What should you do?,Use the Flow Analyzer URL from the SCC finding to investigate VPC Flow Logs for the specific VM that triggered the finding.,Create an Event Threat Detection custom module using the Configurable Bad IP template with the malicious IP address and enable it to detect future communications.,"Ingest the SCC finding into Google SecOps, extract the malicious IP from the finding, and create a YARA-L rule to search for other events involving that IP or related IOCs across all ingested telemetry.",Export the finding to Cloud Logging and configure a log-based alert to notify the security team when new findings reference the same IP address.,3,"SCC findings can be ingested into Google SecOps and analyzed alongside other security telemetry. By extracting the IOC from the finding and creating a YARA-L rule, you can correlate the threat intelligence with VPC Flow Logs, DNS logs, and other data sources to identify additional compromised resources. Reference: https://cloud.google.com/chronicle/docs/soar/marketplace-integrations/google-security-command-center"
GCP PSOE,Your organization uses Google Security Operations (SecOps) for threat detection and wants to leverage Sensitive Data Protection data profiles to enrich asset context for BigQuery tables containing sensitive information. You need to configure the integration to correlate user access behavior with data sensitivity levels. What should you do?,"Configure discovery scan settings to publish data profiles to Google SecOps, and enable Google Cloud data ingestion in SecOps to ingest DLP_CONTEXT entity data for use in detection rules.",Create a Cloud Function triggered by DLP inspection job completion that sends findings to SecOps via the Ingestion API as custom events.,"Configure an inspection job to save findings to BigQuery, then create a data feed in SecOps to ingest the findings table as event logs for correlation.","Enable Security Command Center integration with DLP, then configure SecOps to ingest SCC findings to obtain asset sensitivity context for detection rules.",1,Publishing data profiles to Google SecOps creates entity records with sensitivity labels that can be correlated with user activity in YARA-L rules. The DLP_CONTEXT data includes sensitivity scores and predicted infoTypes that enable context-aware detection of high-risk behavior involving sensitive data assets. Reference: https://cloud.google.com/chronicle/docs/detection/usecase-dlp-high-risk-user-download
GCP PSOE,"A Container Threat Detection finding shows 'Execution: Malicious Script Executed' with a category indicating a machine learning model identified executed Bash code as malicious. As a threat hunter, you want to understand how Container Threat Detection analyzed this script. Which statement accurately describes the detection mechanism?",Container Threat Detection monitors script execution in a sandboxed environment to observe behavior before flagging suspicious activity.,Container Threat Detection relies on static analysis of script files stored in the container filesystem to identify known malicious patterns.,Container Threat Detection uses natural language processing (NLP) to analyze Bash and Python scripts to determine if the executed code is malicious.,Container Threat Detection compares script hashes against a database of known malicious scripts maintained by Google Threat Intelligence.,3,"Container Threat Detection includes NLP-based analysis capabilities specifically designed to detect malicious Bash and Python code. The service analyzes executed scripts in real-time to determine if they exhibit malicious characteristics, such as attempts to download and execute binaries, establish reverse shells, or perform other suspicious activities. Reference: https://cloud.google.com/security-command-center/docs/concepts-container-threat-detection-overview"
GCP PSOE,You are setting up a threat hunting capability using Cloud Logging and BigQuery. Your organization requires the ability to query audit logs from all projects across the organization while maintaining the ability to JOIN log data with external threat intelligence datasets containing IOCs. What configuration should you implement?,Create an organization-level aggregated sink to route audit logs to a centralized log bucket with Log Analytics enabled and a linked BigQuery dataset for SQL-based threat hunting.,Create an organization-level aggregated sink that routes logs to Cloud Storage with a separate scheduled Dataflow job that loads logs into BigQuery daily.,"Configure project-level sinks in each project to route logs directly to a shared BigQuery dataset, then create views that JOIN with IOC tables.",Enable the Data Access audit logs for all projects and use Logs Explorer at the organization level to search for IOC matches using the Logging query language.,1,"An aggregated sink at the organization level captures logs from all projects in the hierarchy, Log Analytics enables SQL querying, and the linked BigQuery dataset allows JOIN operations with external threat intelligence tables containing IOCs while keeping the log data within Cloud Logging for retention management. Reference: https://cloud.google.com/logging/docs/export/aggregated_sinks_overview"
GCP PSOE,Your security team uses Google Security Operations (SecOps) SOAR and needs to implement a workflow where a case is automatically escalated to the SOC Manager role when it is marked as an Incident. You also need to ensure that the case cannot be reverted to a lower stage once marked as Incident. Which approach correctly implements this workflow using SOAR capabilities?,Create a playbook that monitors case priority changes and uses the Siemplify > Assign Case action to reassign to SOC Manager when priority exceeds a threshold.,Configure alert grouping rules to automatically create Incident-stage cases when alerts match critical severity criteria and assign them to SOC Manager at creation.,"Use the Case Actions menu to mark the case as Incident, which automatically assigns it to the SOC Manager role and permanently sets the final case stage.",Implement a custom field validation rule in SOAR Settings that prevents stage changes when the case contains tags associated with critical incidents.,3,"Marking a case as an Incident through Case Actions automatically assigns it to a user with the SOC Manager role and sets the stage to Incident. Once you select Incident, you cannot change it, making it the final stage for critical events. This is built-in SOAR functionality. Reference: https://cloud.google.com/chronicle/docs/soar/investigate/working-with-cases/what-actions-can-you-take-on-a-case"
GCP PSOE,"Your security team has deployed a Cloud Function that automatically remediates PUBLIC_BUCKET_ACL findings from Security Health Analytics by removing public access from affected Cloud Storage buckets. After the remediation function executes successfully, analysts report that the finding still shows as ACTIVE for several hours. What explains this behavior and what action should you recommend?","Security Health Analytics automatically changes finding state to INACTIVE during the next scheduled scan after detecting remediation, so no action is needed.",The Cloud Function should call the Security Command Center API to set the finding state to INACTIVE immediately after successful remediation.,Create a mute rule to hide the finding from the dashboard until Security Health Analytics confirms remediation.,The Cloud Function should delete the finding using the SCC API to remove it immediately from the findings list.,1,"Security Health Analytics automatically sets the state of vulnerability findings to INACTIVE when it detects that the issue has been remediated during its next scan. The scan frequency determines the delay, and the state will update automatically without manual intervention. Reference: https://cloud.google.com/security-command-center/docs/how-to-remediate-security-health-analytics-findings"
GCP PSOE,"You are investigating potential lateral movement after Security Command Center detected suspicious activity in your Google Cloud environment. Your VPC Flow Logs are stored in Cloud Logging, and you need to perform long-term historical analysis by joining network traffic data with external threat intelligence in BigQuery. What should you do?","Upgrade your log bucket to use Log Analytics, create a linked BigQuery dataset, and then use BigQuery to join the VPC Flow Logs data with threat intelligence tables.",Use Flow Analyzer in Network Intelligence Center to directly join VPC Flow Logs with external threat intelligence datasets.,"Create a logging sink to export VPC Flow Logs to Cloud Storage in JSON format, then create an external table in BigQuery to query the data.",Configure real-time streaming of VPC Flow Logs through Pub/Sub directly to BigQuery using a Dataflow pipeline for threat hunting analysis.,1,Creating a linked BigQuery dataset from a Log Analytics-enabled bucket allows you to query log data using BigQuery SQL and join it with other datasets like threat intelligence feeds. This approach provides read access to log data without duplicating storage. Reference: https://cloud.google.com/logging/docs/analyze/query-linked-dataset
GCP PSOE,Your organization requires that security logs exported to Cloud Storage cannot be deleted or modified for 5 years to meet regulatory compliance requirements. You have configured a Cloud Logging sink to route audit logs to a dedicated Cloud Storage bucket. What configuration should you apply to the Cloud Storage bucket to enforce this immutable retention requirement?,Set the bucket's IAM policy to deny the storage.objects.delete permission for all principals including project owners.,Enable Object Versioning on the bucket and configure the sink to write to a versioned bucket with soft delete enabled.,Configure a retention policy with a 5-year retention period on the bucket and lock the policy using Bucket Lock.,Configure Object Lifecycle Management to transition logs to Coldline storage after 5 years and prevent deletion.,3,"Bucket Lock allows you to configure a retention policy that specifies a minimum retention period during which objects cannot be deleted or modified. Locking the retention policy makes it permanent and prevents anyone from reducing the retention period or removing the policy, which is required for regulatory compliance such as FINRA, SEC, and CFTC requirements. Reference: https://cloud.google.com/storage/docs/bucket-lock"
GCP PSOE,Your organization uses Web Security Scanner to identify vulnerabilities in a customer-facing application. The security team requires authenticated scanning to test protected areas of the application where most business logic resides. The application uses a non-standard port (8443) for HTTPS connections. What should you do?,Create a Cloud Load Balancer to redirect traffic from port 443 to 8443 and use managed scans.,Configure a Web Security Scanner custom scan with authentication credentials and specify the starting URL including port 8443.,Enable managed scans and configure authentication credentials in the Security Command Center settings.,Deploy a reverse proxy on port 443 and configure managed scans with IAM service account credentials.,2,"Custom scans support authentication and non-default ports, unlike managed scans which only support default ports (80/443) and do not use authentication. Custom scans provide more thorough scanning including protected application areas. Reference: https://cloud.google.com/security-command-center/docs/how-to-web-security-scanner-custom-scans"
GCP PSOE,You are creating a log-based metric to count Security Command Center high-severity findings exported to Cloud Logging. You plan to use this metric in a Cloud Monitoring dashboard and create alerting policies. Which best practice should you follow when defining the log-based metric?,Use distribution-type log-based metrics instead of counter-type metrics to capture both the count and latency of findings processing.,Specify a single resource type in the log-based metric filter to ensure the time series data model matches Cloud Monitoring expectations and simplifies chart creation.,Create the log-based metric without specifying a resource type filter to capture findings from all possible sources and maximize detection coverage.,Configure the log-based metric to use bucket-scoped logging to automatically aggregate findings across all projects in the organization.,2,Specifying a single resource type in log-based metrics ensures the time series data model expected by Cloud Monitoring is satisfied. This simplifies the process of creating charts and alerting policies since there is no ambiguity about which time series data is being charted or monitored. Reference: https://cloud.google.com/logging/docs/logs-based-metrics
GCP PSOE,Your security team needs to detect toxic combinations in Security Command Center to identify high-risk vulnerability patterns. You want to understand how toxic combinations are scored to properly prioritize remediation. Which statement correctly describes how toxic combination severity is determined based on attack exposure scores?,"Toxic combinations with an attack exposure score of 10 or greater are assigned Critical severity, while those with scores less than 10 are assigned High severity.",Severity is manually assigned by security analysts when they review toxic combination cases in the Security Operations console.,All toxic combinations are assigned Critical severity regardless of their attack exposure score because they represent complete attack paths.,Toxic combination severity is inherited from the highest severity finding among the related findings that comprise the combination.,1,"Risk Engine calculates an attack exposure score for each toxic combination, and the severity is determined by this score. Toxic combinations with an attack exposure score greater than or equal to 10 receive Critical severity, while those with a score less than 10 receive High severity. Reference: https://cloud.google.com/security-command-center/docs/toxic-combinations-overview"
GCP PSOE,Your organization has set the constraints/iam.disableServiceAccountCreation organization policy at the organization level to deny service account creation. A team in the 'Development' folder needs to create service accounts for their CI/CD pipelines. You need to allow service account creation only for projects within this specific folder while maintaining the restriction elsewhere. What should you do?,Set the organization policy to 'Inherit parent's policy' at the Development folder level to override the restriction.,Set an organization policy on the Development folder that overrides the parent policy with 'enforce: false' for the constraint.,Delete the organization policy at the organization level and create individual policies for each folder that should deny service account creation.,Grant the service accounts in Development folder the Service Account Creator role to bypass the organization policy constraint.,2,"When you need to grant an exception for a specific folder, you can override the parent's policy by setting a new organization policy at the folder level with enforce: false. This stops inheritance from the parent and allows service account creation only within that folder while maintaining the restriction at the organization level and other folders. Reference: https://cloud.google.com/resource-manager/docs/organization-policy/creating-managing-policies"
GCP PSOE,You are configuring threat detection capabilities for a fleet of 50 GKE clusters using GKE Enterprise. You want to ensure that all new clusters automatically have security posture scanning enabled with consistent settings. What is the most efficient approach?,Use a Cloud Function triggered by GKE cluster creation events to automatically enable security posture scanning via the Container Security API.,Create a custom Terraform module that enables security posture scanning on each cluster and apply it during cluster creation.,"Enable Container Threat Detection at the organization level in Security Command Center, which automatically applies to all GKE clusters.",Configure fleet-level default settings for the GKE security posture dashboard using the Feature Manager in the Google Cloud console.,4,"GKE Enterprise allows you to configure fleet-level default settings for security posture features. When you configure these settings in the Feature Manager, any new clusters registered to the fleet during creation automatically inherit the specified security posture settings, ensuring consistent configuration across all clusters. Reference: https://cloud.google.com/kubernetes-engine/docs/how-to/fleet-security-posture"
GCP PSOE,Your security team wants to build an automated threat hunting workflow that triggers when new high-severity threat intelligence indicators are published. The workflow should call a Cloud Function to initiate a retrohunt against historical logs in Google SecOps. Which architecture should you implement?,"Create a Cloud Scheduler job to periodically poll the threat intelligence source, then call a Cloud Function via HTTP trigger that initiates retrohunts in Google SecOps.","Configure a Pub/Sub topic to receive threat intelligence updates, create a Cloud Function with an Eventarc trigger subscribed to the topic, and use the Chronicle API within the function to initiate retrohunts.",Deploy a Compute Engine instance running a custom script that monitors threat intelligence feeds and directly accesses the Google SecOps UI to run retrohunts.,Configure Google SecOps to automatically run retrohunts whenever the Applied Threat Intelligence feed is updated without external triggers.,2,"Pub/Sub topics provide reliable message delivery for threat intelligence updates, and Eventarc triggers enable event-driven Cloud Functions that can programmatically call the Chronicle API to initiate retrohunts. This architecture ensures decoupled, scalable, and reliable automated threat hunting. Reference: https://cloud.google.com/functions/docs/calling/pubsub"
GCP PSOE,"Your organization has detected a potential cryptomining attack in a GKE cluster using Container Threat Detection. During the threat hunting investigation, you want to analyze the specific container and process that triggered the detection. Container Threat Detection findings show the affected Pod name and container image URI. What is the most effective method to investigate the container environment if the container is still running?","Create a forensic snapshot of the node's persistent disk using Compute Engine snapshots, mount it to an analysis VM, and examine the container filesystem offline for evidence.","Export the container logs from Cloud Logging using the container name filter, analyze the stdout and stderr streams, and correlate log entries with the detection timestamp.",Query the Container Threat Detection DaemonSet metrics in Cloud Monitoring to retrieve detailed process execution telemetry and memory analysis data for the affected container.,"Use kubectl exec to connect to the container shell with the Pod namespace and name from the finding, then run commands to view running processes and investigate the execution environment.",4,"If the container is still running, you can investigate the container environment directly by obtaining GKE credentials and using kubectl exec to connect to the container shell. This allows you to run commands like viewing processes to understand what is running in the container. The finding provides the Pod_Namespace, Pod_Name, and Container_Name needed for the kubectl exec command. Reference: https://cloud.google.com/security-command-center/docs/findings/threats/reverse-shell"
GCP PSOE,Your organization is running a multi-tenant GKE cluster that executes untrusted code from external users. You want to enable Container Threat Detection while also using GKE Sandbox to isolate workloads. What architecture should you implement?,Configure Container Threat Detection in monitoring-only mode which is compatible with GKE Sandbox environments.,Enable both GKE Sandbox and Container Threat Detection on the same node pools to maximize security coverage for all workloads.,Create separate node pools: use GKE Sandbox-enabled pools for untrusted workloads and non-sandboxed pools with Container Threat Detection for trusted workloads.,Deploy Container Threat Detection only and rely on its NLP-based detection to identify malicious code execution without requiring GKE Sandbox.,3,Container Threat Detection is not compatible with GKE Sandbox. You must disable GKE Sandbox on clusters where you want Container Threat Detection deployed. Using separate node pools allows you to leverage both security capabilities where appropriate. Reference: https://cloud.google.com/security-command-center/docs/how-to-use-container-threat-detection
GCP PSOE,Your organization uses Security Command Center Enterprise to manage security posture. The security team wants to ensure that databases containing sensitive customer data are prioritized in attack path simulations. You need to configure SCC to automatically classify these data resources based on their sensitivity level. What should you do?,Use Cloud Asset Inventory to export database metadata and create a Cloud Function that updates SCC security marks based on the presence of sensitive data columns.,Create custom resource value configurations in SCC that manually specify each database resource by name and assign HIGH priority values to those containing customer data.,Configure Security Health Analytics detectors to identify databases and automatically tag them as high-value resources based on their naming conventions.,"Enable Sensitive Data Protection discovery and configure resource value configurations to include discovery insights, which automatically sets priority values based on data sensitivity classifications.",4,Security Command Center can integrate with Sensitive Data Protection discovery to automatically set resource priority values based on data sensitivity classifications (HIGH or MEDIUM). This ensures databases with sensitive data are properly prioritized in attack path simulations. Reference: https://cloud.google.com/security-command-center/docs/attack-exposure-learn
