GCP PSOE,Your security team needs to verify how organization policies are being applied across the resource hierarchy for a specific project. They want to see the combined effect of all inherited and locally-set policies for the constraints/gcp.resourceLocations constraint. Which gcloud command should they use?,gcloud resource-manager org-policies list --project=PROJECT_ID,gcloud org-policies describe constraints/gcp.resourceLocations --project=PROJECT_ID,gcloud org-policies describe constraints/gcp.resourceLocations --effective --project=PROJECT_ID,gcloud policy-intelligence analyze --org-policy=constraints/gcp.resourceLocations --project=PROJECT_ID,3,The --effective flag returns the organization policy as it is evaluated at that point in the resource hierarchy with inheritance included. This shows the result of merging policies in the resource hierarchy and evaluating conditions. Reference: https://cloud.google.com/resource-manager/docs/organization-policy/using-constraints
GCP PSOE,Your organization maintains a list of known malicious IP addresses from an internal threat intelligence team. You need to configure Event Threat Detection to generate findings when VPC resources connect to these IP addresses. You want to define custom severity levels and remediation guidance for your security team. What should you do?,"Create a Configurable Bad IP custom module using a JSON template that includes your IP list, severity level, description, and recommendation parameters.",Configure a Cloud Armor security policy with your malicious IP list and integrate it with Event Threat Detection for automatic findings.,Enable the built-in Malware: Bad IP detector and upload your threat intelligence feed directly to Security Command Center.,Create a custom detection rule in Google SecOps SIEM using YARA-L and export the findings to Security Command Center.,1,"The Configurable Bad IP custom module allows you to specify your own list of suspicious IP addresses and customize the metadata including severity, description, and remediation recommendations. Custom module templates are written in JSON and let you define detection parameters that control what events in log entries should trigger findings. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-etd-overview"
GCP PSOE,Your security team is investigating a critical toxic combination finding detected by Security Command Center Risk Engine. The finding shows a high attack exposure score and affects a resource path leading to your high-value BigQuery dataset. What does this toxic combination represent and how should you respond?,A group of security issues that together create an attack path to your high-value resource; remediate the contributing issues to eliminate the attack path.,A false positive detection caused by misconfigured scanning parameters; mute the finding and adjust the Risk Engine settings.,A threat finding indicating active compromise of your BigQuery dataset; immediately isolate the affected resources and initiate incident response.,A single critical vulnerability with multiple CVEs; apply the vendor-provided patch to remediate all associated vulnerabilities.,1,"Toxic combinations represent groups of security issues that, when they occur together in a particular pattern, create a path that an attacker could use to reach and compromise high-value resources. Each toxic combination has an attack exposure score reflecting its risk. Remediation involves addressing the contributing security issues to break the attack path. Reference: https://cloud.google.com/security-command-center/docs/toxic-combinations-overview"
GCP PSOE,"Your security team wants to implement automated remediation for Security Command Center findings. When a Security Health Analytics detector identifies an OPEN_FIREWALL finding, a Cloud Function should automatically update the firewall rule to restrict access. You need to configure the event-driven architecture that connects SCC findings to Cloud Functions. What should you do?","Create a NotificationConfig with a filter for OPEN_FIREWALL findings to publish to a Pub/Sub topic, and deploy a Cloud Function with a Pub/Sub trigger subscribed to that topic.",Enable continuous exports to BigQuery and use scheduled queries to trigger Cloud Functions for OPEN_FIREWALL remediation.,Configure Event Threat Detection to directly invoke the Cloud Function when OPEN_FIREWALL findings are detected using an HTTP trigger.,Create a Cloud Asset Inventory feed to monitor firewall changes and trigger Cloud Functions to remediate findings directly from asset updates.,1,The Security Command Center Notifications API uses NotificationConfig to export findings to Pub/Sub topics in near-real time. Cloud Functions can then be triggered by Pub/Sub messages to perform automated remediation actions. The filter ensures only relevant findings trigger the function. Reference: https://cloud.google.com/security-command-center/docs/how-to-notifications
GCP PSOE,You are managing case workflows in Security Command Center Enterprise. Multiple Security Health Analytics findings with different severity levels have been grouped into a single case. You need to understand how case priority is determined when findings have varying severities. Which statement correctly describes the case priority assignment behavior?,"Case priority is automatically set based on the highest finding severity among all findings in the case, and updates automatically when finding severity changes.","Case priority is calculated as an average of all finding severities in the case, weighted by the number of findings at each severity level.",Case priority is set to the severity of the first finding ingested and remains static unless manually updated by an analyst.,"Muted findings are excluded from case priority calculations, and only active unmuted findings determine the case priority.",1,"Case priority is based on the highest finding severity. When the finding severity changes, Security Command Center automatically updates the case priority to match the highest severity property among all findings in the case. This ensures cases are prioritized appropriately based on the most critical finding they contain. Reference: https://cloud.google.com/security-command-center/docs/cases-overview"
GCP PSOE,"Platform operations""Your organization has configured a Google Security Operations (SecOps) SOAR environment where multiple phishing response playbooks may match incoming email alerts. You need to ensure that only the most specific playbook executes automatically and that additional playbooks can be attached manually if needed. What configuration should you implement?",Use environment-specific playbook configurations to separate playbooks by alert source and prevent multiple playbook matches.,Configure all phishing playbooks with the same priority and use Custom Trigger conditions to ensure only one matches each alert.,"Set playbook priority values between 1 and 3, with the most specific playbook at priority 1, and attach additional playbooks manually as needed up to the maximum limit.",Create a master orchestrator playbook that evaluates conditions and calls other playbooks as nested sub-playbooks based on alert attributes.,3,"You can set playbook priority between 1 (highest) and 3 (lowest), and only one playbook can attach automatically based on priority. An additional nine playbooks can be attached manually, for a total of 10 playbooks per alert. This allows the most specific playbook to execute first while permitting manual attachment of others. Reference: https://cloud.google.com/chronicle/docs/soar/respond/working-with-playbooks/attaching-playbooks-to-an-alert"
GCP PSOE,"Your organization uses Google Security Operations (SecOps) and needs to integrate threat intelligence capabilities for IOC correlation and enrichment. Your security team requires access to the broadest range of threat intelligence features, including Mandiant frontline intelligence, crowdsourced community data, and deep dark web monitoring. Which integration should you configure to meet these requirements?",Configure the VirusTotal integration with Premium API access to unlock Mandiant intelligence and dark web monitoring features.,"Configure the Google Threat Intelligence (GTI) integration, which combines VirusTotal capabilities with Mandiant intelligence and Google threat insights.",Configure the VirusTotal v3 integration to access the full VirusTotal database including Mandiant intelligence feeds and dark web monitoring capabilities.,Configure both VirusTotal v2 and Mandiant Threat Intelligence integrations separately to achieve the combined functionality.,2,"Google Threat Intelligence unifies VirusTotal's advanced capabilities with Mandiant's leading threat activity insights, providing automated context, enrichment, and alerting. It includes features like deep dark web monitoring and comprehensive IOC analysis that VirusTotal alone does not provide. Google documentation recommends using GTI over VirusTotal integration as it provides more capabilities and features. Reference: https://cloud.google.com/security/products/threat-intelligence"
GCP PSOE,Your organization wants to prevent default service accounts from being automatically granted the Editor role in new Google Cloud projects. You also need to ensure that existing default service accounts retain their current permissions during the transition. What should you do?,Apply the constraints/iam.disableServiceAccountCreation organization policy constraint to prevent new service accounts from being created.,Configure a Cloud Function triggered by new project creation events to automatically remove the Editor role from default service accounts.,Apply the constraints/iam.automaticIamGrantsForDefaultServiceAccounts organization policy constraint at the organization level.,Delete all default service accounts across existing projects and create custom service accounts with minimal permissions.,3,"This constraint prevents default service accounts in new projects from automatically receiving the Editor role. Applying the constraint does not remove the Editor role from existing default service accounts, allowing for a gradual transition. Reference: https://cloud.google.com/iam/docs/best-practices-service-accounts"
GCP PSOE,You are configuring an Event Threat Detection custom module using the gcloud CLI to detect connections to malicious IP addresses from your organization's threat intelligence feed. You need to define the severity and remediation guidance for findings generated by this module. Which component of the JSON template should you configure?,"The sourceProperties section, including detectionPriority and remediationSteps fields.","The finding_config section, including risk_level and next_steps fields.","The detection_parameters section, including alert_severity and mitigation_steps fields.","The metadata section, including severity, description, and recommendation fields.",4,"The metadata section of the custom module JSON template contains the severity level (LOW, MEDIUM, HIGH, or CRITICAL), description of the custom module, and recommendation field for remediation guidance. These parameters help security teams understand and respond to findings. Reference: https://cloud.google.com/security-command-center/docs/use-custom-modules-etd"
GCP PSOE,"During an active security incident, your incident response team identifies that a service account has been compromised and is being used to exfiltrate data. You need to immediately stop the malicious activity while preserving the ability to investigate and potentially restore the service account if the detection was a false positive. What is the most appropriate IAM action to take?",Remove all IAM role bindings from the service account at the project level.,Disable all service account keys using the gcloud iam service-accounts keys disable command.,Disable the service account using the gcloud iam service-accounts disable command.,Delete the service account using the gcloud iam service-accounts delete command.,3,"Disabling a service account immediately revokes its ability to authenticate and access resources, but it can be re-enabled later if the detection is determined to be a false positive. This approach balances immediate containment with investigative flexibility. Reference: https://cloud.google.com/iam/docs/service-accounts-disable-enable"
GCP PSOE,Security Command Center Enterprise has detected several Security Health Analytics findings for misconfigurations in your Google Cloud environment. You notice that findings with the same parameters are grouped into a single case. An analyst wants to mute all findings in a case that represent acceptable configurations. The analyst runs the Update Finding manual action on the case. What happens when all findings in the case are successfully muted?,The case is archived and the associated Jira or ServiceNow ticket is automatically deleted from the ticketing system.,The case remains open but is moved to a 'Muted' status queue for periodic review by security administrators.,The case stays open and the muted findings remain as alerts but are marked with a 'Muted' label for visibility.,Security Command Center automatically closes the case since all findings within it are muted.,4,"When you mute all findings in a case, Security Command Center automatically closes the case. Muting findings prevents them from appearing in cases and reduces analyst workload. You can mute findings in bulk by running a manual action on a case using the Update Finding action from the GoogleSecurityCommandCenter integration. Reference: https://cloud.google.com/security-command-center/docs/mute-findings-in-cases"
GCP PSOE,Your organization needs to maintain a comprehensive inventory of all Google Cloud assets across multiple projects for security auditing and compliance purposes. You want to query asset metadata using SQL syntax and enable security analysts to identify resources with overly permissive IAM policies. Which approach should you use?,"Export Cloud Asset Inventory data to BigQuery with the IAM_POLICY content type, then run SQL queries on the exported table.",Configure Security Health Analytics to scan for IAM policy violations and export the misconfiguration findings to BigQuery.,Use Security Command Center API to list all assets and export findings to Cloud Storage for analysis using Cloud Data Studio.,"Create a custom script using individual service APIs (Compute Engine, Cloud Storage, BigQuery) to collect and aggregate asset data into a centralized database.",1,"Cloud Asset Inventory can export asset metadata directly to BigQuery, and specifying the IAM_POLICY content type includes the IAM bindings on resources. This enables SQL-based analysis of permissions across the organization. Reference: https://cloud.google.com/asset-inventory/docs/export-bigquery"
GCP PSOE,Your organization is implementing Google Cloud's Sensitive Data Protection to establish a data classification baseline for your security operations team. You need to configure the discovery service to continuously monitor BigQuery tables across your organization and provide asset context that can inform incident response prioritization. What should you do first?,Enable Cloud Asset Inventory and configure it to export DLP findings from individual inspection jobs to a central BigQuery dataset.,"Create a discovery scan configuration at the organization level that defines the scope, inspection templates, and actions for profiling BigQuery data assets.",Submit a request to Google Cloud Support to enable organization-wide DLP scanning with predefined classification policies.,Configure the DLP API to run content.inspect requests on each BigQuery table using a service account with BigQuery Data Viewer permissions.,2,"The discovery service requires a scan configuration that specifies the profiling scope (organization, folder, or project), inspection templates that define which infoTypes to scan for, and actions to take when profiles are generated. This configuration enables continuous monitoring and generates data profiles containing sensitivity and risk levels that provide valuable asset context. Reference: https://cloud.google.com/sensitive-data-protection/docs/data-profiles"
GCP PSOE,"Your threat hunting team is investigating suspicious lateral movement patterns across your multi-cloud environment using Google Security Operations (SecOps). You need to correlate events showing an initial cloud IAM authentication failure followed by a successful authentication from the same identity within 30 minutes, and then network connection attempts to multiple internal services. Which detection approach should you implement?",Build separate single-event rules for each activity type and use a composite detection rule to correlate the output detections across a 30-minute window.,Create a multi-event YARA-L rule with a 30-minute match window that correlates authentication and network events using the principal identity field.,Configure Event Threat Detection custom detectors in Security Command Center to identify this multi-stage attack pattern across cloud environments.,Create a UDM Search statistical query grouped by user identity with a 30-minute time window to identify the pattern and save it as a dashboard widget.,2,"Multi-event YARA-L rules support correlation across different event types within a specified time window. Using the match section with the principal identity field enables tracking sequential behavior patterns like authentication failures, successful logins, and subsequent network activity from the same identity. Reference: https://cloud.google.com/chronicle/docs/detection/yara-l-2-0-overview"
GCP PSOE,Your detection engineering team is investigating Web Security Scanner findings in Security Command Center. A SERVER_SIDE_REQUEST_FORGERY finding was detected in one of your Compute Engine web applications. You need to analyze the finding and determine the appropriate remediation. What should you do?,Run an additional custom scan with the LOW risk level setting to verify if the SSRF finding is a false positive before taking remediation action.,Set the finding state to INACTIVE in Security Command Center and create a mute rule to suppress similar findings from appearing.,Review the finding details in Security Command Center to identify the vulnerable URL and implement an allowlist to restrict domains and IP addresses the application can access.,Configure Cloud Armor security policies to block all incoming requests containing SSRF attack patterns in request parameters.,3,SERVER_SIDE_REQUEST_FORGERY findings indicate the application is vulnerable to SSRF attacks where attackers can make the server perform unauthorized requests. The recommended remediation is to implement an allowlist to limit the domains and IP addresses that the web application can make requests to. Reference: https://cloud.google.com/security-command-center/docs/how-to-remediate-web-security-scanner-findings
GCP PSOE,Your security operations team is building a Looker Studio dashboard to monitor Security Command Center findings streamed to BigQuery. The dashboard will be displayed continuously in the SOC on a wall-mounted screen. The team requires the dashboard to automatically update at least every 15 minutes without manual intervention. How should you configure the dashboard to meet this requirement?,Configure the BigQuery data source data freshness setting to 15 minutes and the dashboard will automatically refresh.,Enable auto refresh in the report settings and set the refresh interval to 15 minutes.,Create a Cloud Scheduler job to periodically reload the Looker Studio dashboard using the Looker Studio API.,Configure a Pub/Sub trigger in BigQuery to push new findings data directly to Looker Studio in real-time.,2,"Looker Studio provides an auto refresh feature that periodically attempts to reload the data in a report. When enabled, you can configure the refresh interval, with options including 15 minutes. While the report is open, Looker Studio will automatically check for fresh data according to this interval. Reference: https://cloud.google.com/looker-studio/docs/manage-auto-refresh-for-a-report"
GCP PSOE,"You are building an automated incident response workflow that sends Slack notifications when Security Command Center detects high-severity findings. You have configured a Pub/Sub topic and created a NotificationConfig in SCC. However, you notice that the Cloud Function is being triggered for all finding severities, not just high severity. What should you do to resolve this issue?",Update the NotificationConfig filter to include severity = 'HIGH' AND state = 'ACTIVE' in the streaming_config.,Create a separate Pub/Sub subscription with a message filter for high-severity findings.,Modify the Cloud Function code to check the severity field in the Pub/Sub message payload and ignore non-high severity findings.,Configure an IAM policy on the Pub/Sub topic to allow only high-severity findings to be published.,1,"The NotificationConfig includes a filter field that limits notifications to specific finding attributes. By adding severity = 'HIGH' AND state = 'ACTIVE' to the streaming_config filter, only high-severity active findings will be published to the Pub/Sub topic. Reference: https://cloud.google.com/security-command-center/docs/how-to-api-manage-notifications"
GCP PSOE,Your organization wants to implement a Cloud Monitoring alerting policy that detects when the ratio of HTTP 5xx errors to total requests exceeds 5% for your security-critical API endpoints. You need to use a query-based approach that supports complex metric calculations. Which query language should you use to create this alerting policy?,Use MQL to create an alerting policy that uses outer_join and ratio operations to calculate the error percentage.,Create two separate metric-threshold alerting policies and use the Google Cloud console to combine them into a single ratio condition.,Use PromQL to create a PromQL-based alerting policy that calculates the error ratio using rate functions and comparison operators.,Configure a SQL-based alerting policy in Log Analytics that calculates the ratio using SQL aggregation functions on HTTP response logs.,3,"PromQL is the recommended query language for Cloud Monitoring and supports complex conditions including ratios, dynamic thresholds, and metric combinations. PromQL-based alerting policies can calculate ratios using functions like rate() and division operators, making it ideal for error rate calculations. Reference: https://cloud.google.com/monitoring/promql/promql-in-alerting"
GCP PSOE,"You are configuring Security Command Center to detect when cloud resources are accessed from IP addresses associated with known threat actors. Event Threat Detection uses Google's internal threat intelligence for IOC matching. However, your organization also subscribes to an external threat intelligence feed with additional malicious IP indicators. You need to incorporate these external IOCs into your detection strategy. What should you do?",Enable Security Health Analytics to scan resource configurations against your external IOC list for potential compromise indicators.,Upload your external threat intelligence feed directly to the SCC API and configure automatic IOC matching against all ingested logs.,Create Event Threat Detection custom modules using the Configurable Bad IP template and populate them with IP addresses from your external threat intelligence feed.,Configure continuous export of SCC findings to Google SecOps and use Applied Threat Intelligence to correlate with your external feed.,3,"Event Threat Detection custom modules allow you to extend detection capabilities with your own IOC data. The Configurable Bad IP module type lets you specify custom IP addresses that should trigger findings when observed in VPC Flow Logs, enabling integration of external threat intelligence with SCC's native detection. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-etd-overview"
GCP PSOE,You are configuring a BigQuery-based threat detection solution. Your organization routes VPC Flow Logs and Cloud Audit Logs to BigQuery using log sinks. You have a threat intelligence table containing IOCs that is updated daily. You need to design a query solution that correlates logs from the past 24 hours with IOCs while minimizing query costs at scale. What should you do?,"Store logs in Cloud Storage using a log sink, then create BigQuery external tables with Hive partitioning for IOC matching queries.",Configure the log sink to use date-sharded tables and query all tables using wildcard table functions with IOC JOINs.,Create clustered tables by IP address fields and use BigQuery materialized views to pre-compute IOC matches daily.,Use time-unit column partitioned tables for logs with daily granularity and require partition filters in queries that JOIN against the IOC table.,4,"Time-unit column partitioning enables BigQuery to prune partitions when queries filter on the partitioning column. Requiring partition filters ensures queries only scan relevant date partitions, significantly reducing query costs when JOINing with IOC data. Reference: https://cloud.google.com/bigquery/docs/partitioned-tables"
GCP PSOE,You are investigating a high-severity Container Threat Detection finding that shows 'Execution: Container Escape' in Security Command Center. The finding indicates that a known suspicious tool binary for container escape activities was executed in your GKE cluster. You need to gather additional context for your investigation. Which JSON field in the finding should you examine to identify the specific GKE node where the compromised Pod executed?,resource.project_display_name,VM_Instance_Name,Pod_Namespace,Container_Image_Uri,2,The VM_Instance_Name field in the Container Threat Detection finding JSON contains the name of the GKE node where the Pod executed. This information is critical for understanding the scope of the potential compromise and identifying which node may require further investigation or remediation. Reference: https://cloud.google.com/security-command-center/docs/findings/threats/container-escape
GCP PSOE,Your security team has detected a potential privilege escalation attack where an unauthorized user may have granted themselves elevated permissions on multiple resources. You need to investigate all IAM policy modifications across your Google Cloud organization during the past 48 hours. Which Cloud Audit Logs field and filter should you use to identify these SetIamPolicy events in Logs Explorer?,Filter on protoPayload.methodName containing 'SetIamPolicy' and examine the protoPayload.serviceData.policyDelta.bindingDeltas field for the specific role changes.,Filter on protoPayload.status and examine the protoPayload.authenticationInfo.serviceAccountDelegationInfo field to identify all authorization failures.,Filter on protoPayload.authorizationInfo and examine the resource.labels field for the specific permission grants applied to resources.,Filter on logName containing 'data_access' and examine the protoPayload.request.policy.bindings field for all permission changes in the organization.,1,"SetIamPolicy method calls are recorded in Admin Activity audit logs when IAM permissions are modified. The policyDelta.bindingDeltas field contains the specific changes showing which roles were added or removed and for which principals, providing the exact evidence needed for privilege escalation investigation. Reference: https://cloud.google.com/logging/docs/audit/understanding-audit-logs"
GCP PSOE,Your organization has configured log exclusion filters to reduce logging costs. Your security team wants to create a log-based metric to count firewall deny events for security monitoring purposes. A colleague suggests the metric might miss some firewall events due to the exclusion filters. What is the expected behavior?,The metric will capture excluded logs only if you explicitly configure it to use a bucket-scoped metric instead of a project-scoped metric.,"The metric will only capture firewall events that are not excluded, so your security team should remove the exclusion filter for firewall logs.","User-defined log-based metrics are calculated from both included and excluded logs, so the metric will capture all firewall deny events regardless of exclusion filters.",Log-based metrics cannot be created for firewall logs when exclusion filters are active; you must disable the exclusions first.,3,"User-defined log-based metrics are calculated from all log entries received by the Logging API, regardless of any inclusion or exclusion filters applied to the project. The exclusion filters only affect whether logs are stored in buckets, not whether they are counted by user-defined metrics. Reference: https://cloud.google.com/logging/docs/logs-based-metrics"
GCP PSOE,Your SOC team uses Google Security Operations (SecOps) SOAR for case management. Analysts need to assign follow-up tasks to specific team members with due dates while investigating cases. You want to implement a method that allows analysts to track task completion and collaborate efficiently on cases. Which feature should you use?,Add comments to the case timeline and use tags to indicate task assignments and completion status.,Configure playbook actions to automatically generate JIRA tickets for each investigation task.,Use the Quick Actions widget to define pre-configured task templates for common follow-up activities.,"Create case tasks from the Case Wall with assigned SOC roles, task content, and due dates.",4,"The Case Wall allows analysts to add tasks directly to cases. In the Add Task dialog, you can enter the title, assign it to a SOC role or team member, add task content, and set due dates. Tasks can be managed from Cases > Case Wall or Your Workdesk > My Tasks, enabling efficient collaboration and tracking. Reference: https://cloud.google.com/chronicle/docs/soar/investigate/working-with-cases/manage-tasks-from-the-cases-screen"
GCP PSOE,"You are designing a SOAR playbook for forensic evidence collection from compromised Compute Engine instances. The playbook must create disk snapshots, store them in a dedicated forensics bucket with chain of custody controls, and provide time-limited access for external forensic investigators. Which combination of Cloud Storage features should you implement?","Object Retention Lock with locked mode for evidence immutability, Object Versioning for change tracking, and signed URLs with short expiration for investigator access.","Object Lifecycle Management to automatically archive old evidence, customer-managed encryption keys, and allUsers read access during investigation.","Bucket Lock with an unlocked retention policy, uniform bucket-level access, and IAM conditions with time-bound access for investigators.","Event-based holds on all objects, dual-region storage for redundancy, and service account impersonation for investigator access.",1,"Object Retention Lock in locked mode prevents evidence modification or deletion, Object Versioning provides an audit trail of any object changes, and signed URLs allow secure time-limited access to evidence without requiring the external investigators to have Google Cloud accounts. Reference: https://cloud.google.com/storage/docs/object-lock and https://cloud.google.com/storage/docs/access-control/signed-urls"
GCP PSOE,"Your organization hosts a public-facing e-commerce application on Google Kubernetes Engine (GKE). The security team wants to proactively detect OWASP Top Ten vulnerabilities, including SQL injection and cross-site scripting (XSS), in your web applications before attackers can exploit them. You need to configure Web Security Scanner to provide detailed vulnerability findings. What should you do?",Configure Web Security Scanner custom scans with authentication enabled and starting URLs that target your application endpoints.,Configure Event Threat Detection to monitor Cloud Logging for OWASP vulnerability patterns in application requests.,Enable Web Security Scanner managed scans and wait for the automatic weekly scan to detect vulnerabilities across your organization.,Deploy Cloud IDS sensors in front of your GKE cluster to detect SQL injection attempts in real-time network traffic.,1,"Custom scans provide granular information about application vulnerability findings, including outdated libraries, cross-site scripting, and SQL injection. Custom scans can be configured with authentication to test protected endpoints, providing more comprehensive coverage than managed scans that only send GET-only requests without authentication. Reference: https://cloud.google.com/security-command-center/docs/how-to-web-security-scanner-custom-scans"
GCP PSOE,"Your organization uses Google Security Operations (SecOps) for centralized log collection. You need to configure Cloud Monitoring to detect when log forwarders stop sending data, which could indicate a security compromise or infrastructure failure. You want the alert to trigger only when all collectors in a high-availability cluster stop reporting, not when a single collector experiences temporary issues. What should you configure?","Create a metric-absence alerting policy on the log ingestion metric, group by collector_id, and set the Alert trigger to 'All time series violate' with an appropriate trigger absence time.",Create a metric-absence alerting policy on the log ingestion metric and set the Alert trigger to 'Any time series violates' with a longer trigger absence time to filter single collector issues.,Create multiple individual metric-absence alerting policies for each collector and use a multi-condition alerting policy to combine them with AND logic.,Create a metric-threshold alerting policy that monitors the count of active collectors and alerts when it falls below the expected cluster size for 30 minutes.,1,"Metric-absence policies can be configured to alert only when all time series violate the condition. By grouping by collector_id and setting 'All time series violate,' the alert fires only when all collectors in the cluster stop reporting, avoiding false positives from single collector issues. Reference: https://cloud.google.com/chronicle/docs/ingestion/ingestion-notifications-for-health-metrics"
GCP PSOE,Your security team has discovered that the Compute Engine default service account in multiple projects has the Editor role automatically granted. You need to prevent this automatic role grant for default service accounts across your organization while maintaining the ability to deploy workloads. What should you do?,"Use the iam.disableServiceAccountCreation organization policy constraint to prevent creation of default service accounts, and use existing service accounts from a centralized project for all workloads.",Manually remove the Editor role from each default service account after project creation using a Cloud Function triggered by project creation events.,"Enable the iam.automaticIamGrantsForDefaultServiceAccounts organization policy constraint at the organization level, then create dedicated service accounts with appropriate predefined roles for your workloads.",Enable the iam.disableServiceAccountKeyCreation organization policy constraint at the organization level to prevent default service accounts from being used.,3,"The iam.automaticIamGrantsForDefaultServiceAccounts constraint prevents default service accounts from automatically receiving the Editor role. Creating dedicated service accounts with specific predefined roles follows the principle of least privilege. This approach is enforced by default for organizations created after May 3, 2024. Reference: https://cloud.google.com/resource-manager/docs/organization-policy/restricting-service-accounts"
GCP PSOE,You want to enable SQL-based threat hunting queries on your Cloud Logging data while allowing security analysts to join log data with threat intelligence reference tables stored in BigQuery. You need to minimize ongoing data management overhead. What should you do?,Configure Cloud Logging to stream logs directly to Google SecOps and use the SecOps search interface for all threat hunting activities.,Upgrade the log bucket to use Log Analytics and create a linked BigQuery dataset to enable direct queries against the log data from BigQuery.,Export logs to Cloud Storage in JSON format and configure BigQuery external tables to query the exported files.,Create a log sink to export logs to a BigQuery dataset and schedule daily queries to match against threat intelligence tables.,2,Upgrading to Log Analytics and creating a linked dataset allows BigQuery to read log data directly without data duplication. This configuration enables SQL queries and joins with other BigQuery datasets while Cloud Logging manages the data. Reference: https://cloud.google.com/logging/docs/analyze/query-linked-dataset
GCP PSOE,Your security team received an alert from Security Command Center indicating that a container in your GKE cluster has established an outbound connection with stream redirection to a remote socket. You need to investigate this finding to determine if a compromise has occurred. Which finding type from Container Threat Detection should you prioritize for this investigation?,"Container Escape finding, which indicates that a process attempted to break out of container isolation and interact with the host system or other containers.","Malicious Script Executed finding, which indicates that a Python or Bash script was analyzed using NLP and determined to contain malicious code patterns.","Reverse Shell finding, which indicates a process started with stream redirection to a remote connected socket that could allow an attacker to perform arbitrary actions after a compromise.","Added Binary Executed finding, which indicates that a binary not present in the original container image was dropped and executed during container runtime.",3,Container Threat Detection monitors for processes that get started with stream redirection to a remote connected socket. A Reverse Shell finding indicates that an attacker may be using this technique to communicate from a compromised workload to an attacker-controlled machine for malicious activities. Reference: https://cloud.google.com/security-command-center/docs/findings/threats/reverse-shell
GCP PSOE,Your organization requires weekly compliance reports that summarize privileged IAM role assignments across all Google Cloud projects. You have configured Cloud Audit Logs to route to BigQuery. You need to implement an automated solution that generates these reports with minimal operational overhead. What should you do?,"Create a BigQuery scheduled query that aggregates IAM role assignments from the audit log tables, and configure it to run weekly with results written to a destination table.",Configure a log sink filter to export only IAM-related logs to a separate BigQuery dataset and manually run compliance queries each week.,Build a Cloud Function triggered by Cloud Scheduler that queries the Cloud Logging API directly and exports results to Cloud Storage in CSV format.,Use Dataflow to create a streaming pipeline that continuously aggregates IAM changes and writes summaries to BigQuery in real time.,1,"BigQuery scheduled queries can run recurring SQL queries against audit log data in BigQuery, automatically writing results to a destination table on a defined schedule. This approach requires minimal operational overhead and directly addresses the requirement for automated weekly compliance reports. Reference: https://cloud.google.com/bigquery/docs/scheduling-queries"
GCP PSOE,Your organization has a CI/CD pipeline running on an external Jenkins server that needs to deploy resources to Google Cloud. You want to implement keyless authentication following the principle of least privilege. You configure Workload Identity Federation with an OIDC identity provider. What role should you grant on the target service account to allow the external workload to impersonate it?,Workload Identity User (roles/iam.workloadIdentityUser),Service Account Token Creator (roles/iam.serviceAccountTokenCreator),Service Account Admin (roles/iam.serviceAccountAdmin),Service Account User (roles/iam.serviceAccountUser),1,The Workload Identity User role is specifically designed to allow principals to impersonate service accounts from external workloads or GKE workloads using Workload Identity Federation. This role grants the iam.serviceAccounts.getAccessToken permission needed for impersonation. Reference: https://cloud.google.com/iam/docs/workload-identity-federation
GCP PSOE,"Detection engineering""Your security team wants to detect Cloud KMS encryption keys that have not been rotated in more than 60 days. The built-in Security Health Analytics detector KMS_KEY_NOT_ROTATED uses a 90-day threshold, which does not meet your organization's stricter policy. What is the most effective approach to implement this requirement?",Create a Security Health Analytics custom module with a CEL expression that checks resource.rotationPeriod against a 60-day threshold.,Create a Cloud Logging alert policy to monitor for KMS key rotation events and alert when keys exceed 60 days without rotation.,Submit a request to Google Cloud Customer Care to update the KMS_KEY_NOT_ROTATED detector threshold.,Modify the built-in KMS_KEY_NOT_ROTATED detector to change the threshold from 90 days to 60 days.,1,Security Health Analytics custom modules allow you to define custom detection rules using CEL expressions to evaluate resource properties. You can specify the exact rotation period threshold that matches your organization's policy. The custom module runs in both real-time and batch scan modes. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-sha-create
GCP PSOE,"Your organization receives threat intelligence updates from a third-party feed stored in a Cloud Storage bucket. When new IOC files are uploaded, you need to automatically parse the IOCs and initiate retrohunts in Google SecOps against historical data. You want to design a scalable and event-driven architecture using serverless components. What should you do?",Deploy a Cloud Function with an HTTP trigger that polls the Cloud Storage bucket every 5 minutes to check for new IOC files and manually creates retrohunts via the Google SecOps SOAR playbook actions.,"Configure a direct event trigger from Cloud Storage to a Cloud Function using Eventarc, then export the IOC data to BigQuery for manual threat hunting queries by analysts.","Configure a Pub/Sub notification on the Cloud Storage bucket to publish messages when new objects are created, and deploy a Cloud Function with a Pub/Sub trigger to parse the IOC file and call the Google SecOps Chronicle API to create retrohunts.","Create a Cloud Scheduler job to invoke a Cloud Run service hourly that scans the Cloud Storage bucket and sends IOCs directly to Google SecOps via the ingestion API, bypassing retrohunt capabilities.",3,"Pub/Sub notifications from Cloud Storage provide reliable, event-driven triggers for new file uploads. Cloud Functions with Pub/Sub triggers enable serverless execution, and the Chronicle API supports programmatic retrohunt creation. This is the standard event-driven pattern for automated threat hunting workflows. Reference: https://cloud.google.com/storage/docs/pubsub-notifications and https://cloud.google.com/chronicle/docs/reference/detection-engine-api"
